id,make,model,year,engine,horsepower,torque,acceleration,price,url
25,Pagani,Huayra,2021,6,720,737,2.8,"2,800,000",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Pagani%2C_GIMS_2019%2C_Le_Grand-Saconnex_%28GIMS0023%29.jpg/640px-Pagani%2C_GIMS_2019%2C_Le_Grand-Saconnex_%28GIMS0023%29.jpg
26,Polestar,1,2021,2,600,738,4.1,"155,000",https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/2021_Polestar_1_in_Magnesium%2C_front_left.jpg/640px-2021_Polestar_1_in_Magnesium%2C_front_left.jpg
27,Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Rimac_Nevera.jpg/640px-Rimac_Nevera.jpg
28,Porsche,Cayman GT4,2022,4,414,309,3.8,"100,200",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_718_Boxster_Spyder_IMG_2961.jpg/640px-Porsche_718_Boxster_Spyder_IMG_2961.jpg
29,Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"517,770",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg/640px-Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg
30,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg/640px-FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg
31,Audi,RS7,2022,4,591,590,3.5,"117,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/2018_Audi_A7_S_Line_40_TDi_S-A_2.0.jpg/640px-2018_Audi_A7_S_Line_40_TDi_S-A_2.0.jpg
32,McLaren,Artura,2021,3,671,531,3,"225,000",https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/2021_McLaren_Artura_%281%29.jpg/640px-2021_McLaren_Artura_%281%29.jpg
33,BMW,M4,2022,3,503,479,3.8,"72,800",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/2021_BMW_M4_Competition_Automatic_3.0_Front.jpg/640px-2021_BMW_M4_Competition_Automatic_3.0_Front.jpg
34,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.2,"222,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Mercedes-Benz_SLS_AMG_%28C_197%29_%E2%80%93_Frontansicht_ge%C3%B6ffnet%2C_10._August_2011%2C_D%C3%BCsseldorf.jpg/640px-Mercedes-Benz_SLS_AMG_%28C_197%29_%E2%80%93_Frontansicht_ge%C3%B6ffnet%2C_10._August_2011%2C_D%C3%BCsseldorf.jpg
35,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg/640px-2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg
36,Ford,GT,2022,3.5,660,550,3,"500,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg/640px-Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg
37,Nissan,370Z Nismo,2021,3.7,350,276,4.5,"45,690",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/2012-2017_Nissan_Fairlady_Z.jpg/640px-2012-2017_Nissan_Fairlady_Z.jpg
38,Porsche,Taycan 4S,2022,Electric Motor,562,479,3.8,"104,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/2020_Porsche_Taycan_4S_79kWh_Front.jpg/640px-2020_Porsche_Taycan_4S_79kWh_Front.jpg
39,Lamborghini,Urus,2021,4,641,626,3.5,"218,000",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Lamborghini_Urus_SE_DSC_8524.jpg/640px-Lamborghini_Urus_SE_DSC_8524.jpg
40,Ferrari,Roma,2021,3.9,611,561,3.3,"222,000",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/2021_Ferrari_Roma_in_Rosso_Fiorano%2C_front_right.jpg/640px-2021_Ferrari_Roma_in_Rosso_Fiorano%2C_front_right.jpg
41,Audi,RS3,2022,2.5,394,369,3.9,"57,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Audi_A3_8Y_Sedan_IMG_5936.jpg/640px-Audi_A3_8Y_Sedan_IMG_5936.jpg
42,McLaren,GT,2021,4,612,465,3.1,"210,000",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/2022_McLaren_GT.jpg/640px-2022_McLaren_GT.jpg
43,BMW,i8,2020,1.5 + Electric,369,420,4.2,"148,500",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/2016_BMW_i8.jpg/640px-2016_BMW_i8.jpg
44,Mercedes-Benz,CLS63 AMG,2019,4,603,627,3.4,"132,000",/placeholder-car.jpg
45,Porsche,Cayman,2021,2,300,280,5.1,"58,900",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_718_Boxster_Spyder_IMG_2961.jpg/640px-Porsche_718_Boxster_Spyder_IMG_2961.jpg
46,Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"518,000",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg/640px-Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg
47,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg/640px-FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg
48,Audi,RS3,2022,2.5,394,369,3.9,"56,200",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Audi_A3_8Y_Sedan_IMG_5936.jpg/640px-Audi_A3_8Y_Sedan_IMG_5936.jpg
49,McLaren,570S,2021,3.8,562,443,2.8,"192,500",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/2017_McLaren_570S%2C_blue%2C_front_left.jpg/640px-2017_McLaren_570S%2C_blue%2C_front_left.jpg
50,BMW,M4,2022,3,503,479,3.8,"71,800",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/2021_BMW_M4_Competition_Automatic_3.0_Front.jpg/640px-2021_BMW_M4_Competition_Automatic_3.0_Front.jpg
51,Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"68,000",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Mercedes-AMG_S_63%2C_Frankfurt_%281Y7A3450%29.jpg/640px-Mercedes-AMG_S_63%2C_Frankfurt_%281Y7A3450%29.jpg
52,Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"42,500",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg/640px-2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg
53,Ford,Mustang GT,2022,5,460,420,4.3,"39,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/2018_Ford_Mustang_GT_5.0.jpg/640px-2018_Ford_Mustang_GT_5.0.jpg
54,Nissan,370Z Nismo,2021,3.7,350,276,4.8,"46,100",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/2012-2017_Nissan_Fairlady_Z.jpg/640px-2012-2017_Nissan_Fairlady_Z.jpg
55,Aston Martin,Vantage,2021,4,503,505,3.5,"142,100",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Aston-Martin_Vantage_%281973%29_%2834328531642%29.jpg/640px-Aston-Martin_Vantage_%281973%29_%2834328531642%29.jpg
56,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg/640px-2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg
57,Porsche,Panamera,2021,2.9,325,331,5.1,"87,200",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_972_IMG_9337.jpg/640px-Porsche_972_IMG_9337.jpg
58,Lamborghini,Urus,2021,4,641,627,3.2,"218,000",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Lamborghini_Urus_SE_DSC_8524.jpg/640px-Lamborghini_Urus_SE_DSC_8524.jpg
59,Ferrari,Roma,2021,3.9,612,560,3.4,"222,000",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/2021_Ferrari_Roma_in_Rosso_Fiorano%2C_front_right.jpg/640px-2021_Ferrari_Roma_in_Rosso_Fiorano%2C_front_right.jpg
60,Audi,S5,2022,3,349,369,4.4,"52,500",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/2018_Audi_S5_TFSi_Quattro_Automatic_3.0_Front.jpg/640px-2018_Audi_S5_TFSi_Quattro_Automatic_3.0_Front.jpg
61,McLaren,600LT,2021,3.8,592,457,2.8,"241,000",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/2017_McLaren_570S%2C_blue%2C_front_left.jpg/640px-2017_McLaren_570S%2C_blue%2C_front_left.jpg
62,BMW,M5,2022,4.4,600,553,3.2,"103,500",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/BMW%2C_Techno_Classica_2018%2C_Essen_%28IMG_8995%29.jpg/640px-BMW%2C_Techno_Classica_2018%2C_Essen_%28IMG_8995%29.jpg
63,Aston Martin,Vantage,2022,4,503,505,3.5,"146,000",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Aston-Martin_Vantage_%281973%29_%2834328531642%29.jpg/640px-Aston-Martin_Vantage_%281973%29_%2834328531642%29.jpg
64,Audi,RS5,2021,2.9,444,443,3.6,"75,400",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Audi_A5_B10_DSC_7314.jpg/640px-Audi_A5_B10_DSC_7314.jpg
65,BMW,M2,2022,3,405,406,4,"58,900",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/BMW_G87_M2_1X7A1838.jpg/640px-BMW_G87_M2_1X7A1838.jpg
66,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,900",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg/640px-2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg
67,Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"78,595",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg/640px-Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg
68,Ford,GT,2021,3.5,660,550,3,"500,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg/640px-Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg
69,Jaguar,F-Type,2022,2,296,295,5.4,"62,750",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/2024_Jaguar_F-Type_Heritage.jpg/640px-2024_Jaguar_F-Type_Heritage.jpg
70,Lamborghini,Aventador,2021,6.5,770,531,2.9,"417,826",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg/640px-Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg
71,Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,980",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Maserati_GranTurismo_Trofeo_1X7A0828.jpg/640px-Maserati_GranTurismo_Trofeo_1X7A0828.jpg
72,McLaren,Artura,2022,3,671,531,3,"225,000",https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/2021_McLaren_Artura_%281%29.jpg/640px-2021_McLaren_Artura_%281%29.jpg
73,Mercedes-Benz,C63 AMG,2021,4,503,516,3.8,"70,100",/placeholder-car.jpg
74,Nissan,370Z,2021,3.7,332,270,5,"30,090",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/2012-2017_Nissan_Fairlady_Z.jpg/640px-2012-2017_Nissan_Fairlady_Z.jpg
75,Porsche,Panamera,2022,2.9,325,331,5.3,"88,700",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_972_IMG_9337.jpg/640px-Porsche_972_IMG_9337.jpg
76,Audi,TT RS,2021,2.5,394,354,3.6,"67,600",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/2019_Audi_TT_Sport_40_TFSi_S-A_2.0_Front.jpg/640px-2019_Audi_TT_Sport_40_TFSi_S-A_2.0_Front.jpg
77,BMW,M4,2022,3,473,406,4.1,"72,800",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/2021_BMW_M4_Competition_Automatic_3.0_Front.jpg/640px-2021_BMW_M4_Competition_Automatic_3.0_Front.jpg
78,Chevrolet,Corvette Stingray,2021,6.2,490,465,2.8,"59,900",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/2021_Chevrolet_Corvette_C8.jpg/640px-2021_Chevrolet_Corvette_C8.jpg
79,Ferrari,F8 Tributo,2021,3.9,710,568,2.8,"274,280",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Ferrari_F8_Tributo_Genf_2019_1Y7A5665.jpg/640px-Ferrari_F8_Tributo_Genf_2019_1Y7A5665.jpg
80,Ford,Mustang Mach 1,2021,5,480,420,4.3,"52,915",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/2018_Ford_Mustang_GT_5.0.jpg/640px-2018_Ford_Mustang_GT_5.0.jpg
81,Lamborghini,Urus,2021,4,641,627,3.6,"218,009",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Lamborghini_Urus_SE_DSC_8524.jpg/640px-Lamborghini_Urus_SE_DSC_8524.jpg
82,Porsche,718 Cayman,2022,2,300,280,4.5,"61,000",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Porsche_718RSK_Spyder%2C_front_right%2C_Stratford.jpg/640px-Porsche_718RSK_Spyder%2C_front_right%2C_Stratford.jpg
83,Acura,NSX,2022,3.5,573,476,2.9,"159,495",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/AcuraNSX-05-cropped.jpg/640px-AcuraNSX-05-cropped.jpg
84,Aston Martin,Vantage,2022,4,503,505,3.5,"142,086",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Aston-Martin_Vantage_%281973%29_%2834328531642%29.jpg/640px-Aston-Martin_Vantage_%281973%29_%2834328531642%29.jpg
85,Bentley,Continental GT,2021,6,626,664,3.3,"219,800",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/1956_Bentley_Continental_coup%C3%A9_by_Park_Ward.jpg/640px-1956_Bentley_Continental_coup%C3%A9_by_Park_Ward.jpg
86,Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bugatti_Chiron_1.jpg/640px-Bugatti_Chiron_1.jpg
87,Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"74,290",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg/640px-Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg
88,Jaguar,F-Type,2022,3,380,339,4.9,"71,900",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/2024_Jaguar_F-Type_Heritage.jpg/640px-2024_Jaguar_F-Type_Heritage.jpg
89,Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/GIMS_2019%2C_Le_Grand-Saconnex_%28GIMS0833%29.jpg/640px-GIMS_2019%2C_Le_Grand-Saconnex_%28GIMS0833%29.jpg
90,Lexus,LC 500,2022,5,471,398,4.4,"92,950",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg/640px-2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg
91,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg/640px-2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg
92,Maserati,GranTurismo,2022,4.7,454,384,4.7,"134,300",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Maserati_GranTurismo_Trofeo_1X7A0828.jpg/640px-Maserati_GranTurismo_Trofeo_1X7A0828.jpg
93,Mazda,MX-5 Miata,2021,2,181,151,6.5,"26,830",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Mazda_Roadster_%28MX-5%29_by_Negawa_Bridge_%28cropped%29.jpg/640px-Mazda_Roadster_%28MX-5%29_by_Negawa_Bridge_%28cropped%29.jpg
94,McLaren,GT,2022,4,620,465,3.1,"213,195",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/2022_McLaren_GT.jpg/640px-2022_McLaren_GT.jpg
95,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"221,580",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Mercedes-Benz_SLS_AMG_%28C_197%29_%E2%80%93_Frontansicht_ge%C3%B6ffnet%2C_10._August_2011%2C_D%C3%BCsseldorf.jpg/640px-Mercedes-Benz_SLS_AMG_%28C_197%29_%E2%80%93_Frontansicht_ge%C3%B6ffnet%2C_10._August_2011%2C_D%C3%BCsseldorf.jpg
96,Pagani,Huayra,2022,6,764,738,2.8,"2,800,000",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Pagani%2C_GIMS_2019%2C_Le_Grand-Saconnex_%28GIMS0023%29.jpg/640px-Pagani%2C_GIMS_2019%2C_Le_Grand-Saconnex_%28GIMS0023%29.jpg
97,Porsche,718 Cayman GT4,2022,4,414,309,4.2,"100,550",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Porsche_718RSK_Spyder%2C_front_right%2C_Stratford.jpg/640px-Porsche_718RSK_Spyder%2C_front_right%2C_Stratford.jpg
98,Rimac,Nevera,2022,Electric,1914,1696,1.95,"2,400,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Rimac_Nevera.jpg/640px-Rimac_Nevera.jpg
99,Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"330,000",/placeholder-car.jpg
100,Tesla,Roadster,2022,Electric,1000+,737,1.9,"200,000",/placeholder-car.jpg
101,Toyota,Supra,2022,3,382,368,3.9,"43,090",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/2023_Toyota_Supra_%282%29.jpg/640px-2023_Toyota_Supra_%282%29.jpg
102,W Motors,Fenyr Supersport,2022,3.8,800,723,2.7,"1,700,000",/placeholder-car.jpg
103,Porsche,718 Cayman,2022,2,300,280,4.7,"60,500",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Porsche_718RSK_Spyder%2C_front_right%2C_Stratford.jpg/640px-Porsche_718RSK_Spyder%2C_front_right%2C_Stratford.jpg
104,Lamborghini,Aventador,2021,6.5,770,531,2.9,"522,000",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg/640px-Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg
105,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg/640px-FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg
106,Audi,TT RS,2022,2.5,394,354,3.4,"67,000",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/2019_Audi_TT_Sport_40_TFSi_S-A_2.0_Front.jpg/640px-2019_Audi_TT_Sport_40_TFSi_S-A_2.0_Front.jpg
107,McLaren,GT,2021,4,612,465,3.1,"212,500",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/2022_McLaren_GT.jpg/640px-2022_McLaren_GT.jpg
108,BMW,M4,2022,3,503,479,3.8,"75,000",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/2021_BMW_M4_Competition_Automatic_3.0_Front.jpg/640px-2021_BMW_M4_Competition_Automatic_3.0_Front.jpg
109,Mercedes-Benz,SL 63 AMG,2021,4,603,664,3.5,"155,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Mercedes-Benz_SL_350_AMG_Line_%28R_231%29_%E2%80%93_Frontansicht%2C_22._M%C3%A4rz_2014%2C_D%C3%BCsseldorf.jpg/640px-Mercedes-Benz_SL_350_AMG_Line_%28R_231%29_%E2%80%93_Frontansicht%2C_22._M%C3%A4rz_2014%2C_D%C3%BCsseldorf.jpg
110,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg/640px-2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg
